period_begin,period_end,region,property_type,median_sale_price,median_list_price,homes_sold,new_listings,months_of_supply
7/1/2015,7/31/2015,"Johnson County, KS",Single Family Residential,245000.0,237950.0,1153.0,1018.0,2.8
2/1/2013,2/28/2013,"Johnson County, KS",Single Family Residential,210000.0,214475.0,483.0,807.0,6.3
3/1/2018,3/31/2018,"Johnson County, KS",All Residential,280000.0,299500.0,835.0,1371.0,2.5
8/1/2017,8/31/2017,"Johnson County, KS",All Residential,260430.0,250000.0,1122.0,1047.0,2.1
9/1/2013,9/30/2013,"Johnson County, KS",Townhouse,122500.0,215000.0,63.0,60.0,4.0
4/1/2016,4/30/2016,"Johnson County, KS",All Residential,250000.0,275000.0,1002.0,1491.0,2.8
9/1/2018,9/30/2018,"Johnson County, KS",Condo/Co-op,122500.0,300000.0,22.0,22.0,1.9
2/1/2020,2/29/2020,"Johnson County, KS",Single Family Residential,307500.0,341000.0,544.0,839.0,2.8
5/1/2013,5/31/2013,"Johnson County, KS",Single Family Residential,219000.0,214950.0,1096.0,1312.0,3.4
9/1/2021,9/30/2021,"Johnson County, KS",Townhouse,220000.0,360000.0,71.0,65.0,0.9
1/1/2023,1/31/2023,"Johnson County, KS",Multi-Family (2-4 Unit),307500.0,425000.0,2.0,4.0,2.0
5/1/2022,5/31/2022,"Johnson County, KS",Townhouse,250000.0,399950.0,63.0,84.0,1.2
3/1/2020,3/31/2020,"Johnson County, KS",Condo/Co-op,131000.0,320000.0,21.0,26.0,1.3
2/1/2012,2/29/2012,"Johnson County, KS",Single Family Residential,184400.0,207250.0,424.0,788.0,7.7
12/1/2016,12/31/2016,"Johnson County, KS",All Residential,250000.0,261500.0,845.0,418.0,2.2
11/1/2015,11/30/2015,"Johnson County, KS",All Residential,238200.0,244975.0,648.0,604.0,4.5
1/1/2018,1/31/2018,"Johnson County, KS",Single Family Residential,280000.0,276250.0,519.0,664.0,3.1
1/1/2015,1/31/2015,"Johnson County, KS",All Residential,217500.0,243900.0,510.0,783.0,5.6
3/1/2020,3/31/2020,"Johnson County, KS",Multi-Family (2-4 Unit),280000.0,320000.0,6.0,4.0,0.7
11/1/2020,11/30/2020,"Johnson County, KS",Single Family Residential,349500.0,329000.0,918.0,645.0,1.4
9/1/2012,9/30/2012,"Johnson County, KS",Condo/Co-op,88720.0,208950.0,18.0,8.0,3.9
5/1/2017,5/31/2017,"Johnson County, KS",Condo/Co-op,117000.0,269997.0,21.0,22.0,2.2
5/1/2012,5/31/2012,"Johnson County, KS",All Residential,201000.0,200000.0,951.0,1144.0,4.7
4/1/2014,4/30/2014,"Johnson County, KS",All Residential,215000.0,239500.0,887.0,1383.0,4.4
2/1/2015,2/28/2015,"Johnson County, KS",Multi-Family (2-4 Unit),110000.0,239950.0,3.0,6.0,8.0
9/1/2017,9/30/2017,"Johnson County, KS",Single Family Residential,263550.0,265000.0,844.0,990.0,2.6
9/1/2020,9/30/2020,"Johnson County, KS",Multi-Family (2-4 Unit),251400.0,350000.0,6.0,8.0,0.7
10/1/2018,10/31/2018,"Johnson County, KS",Condo/Co-op,123500.0,294950.0,18.0,22.0,2.1
1/1/2020,1/31/2020,"Johnson County, KS",Townhouse,165500.0,329900.0,39.0,44.0,2.0
4/1/2021,4/30/2021,"Johnson County, KS",Multi-Family (2-4 Unit),382500.0,374600.0,2.0,12.0,5.5
3/1/2019,3/31/2019,"Johnson County, KS",Single Family Residential,310000.0,310000.0,681.0,1167.0,2.8
7/1/2016,7/31/2016,"Johnson County, KS",Multi-Family (2-4 Unit),200000.0,250000.0,9.0,6.0,1.1
3/1/2014,3/31/2014,"Johnson County, KS",Condo/Co-op,100000.0,229000.0,11.0,29.0,5.8
8/1/2016,8/31/2016,"Johnson County, KS",Condo/Co-op,105850.0,254950.0,22.0,24.0,2.0
12/1/2022,12/31/2022,"Johnson County, KS",Townhouse,233450.0,400000.0,42.0,24.0,0.8
8/1/2022,8/31/2022,"Johnson County, KS",Single Family Residential,425000.0,379900.0,939.0,811.0,1.3
4/1/2018,4/30/2018,"Johnson County, KS",Single Family Residential,297000.0,303250.0,856.0,1285.0,2.4
7/1/2012,7/31/2012,"Johnson County, KS",Townhouse,140000.0,210000.0,57.0,68.0,5.5
8/1/2013,8/31/2013,"Johnson County, KS",Condo/Co-op,94500.0,219950.0,16.0,16.0,3.8
3/1/2016,3/31/2016,"Johnson County, KS",Condo/Co-op,117000.0,275000.0,17.0,16.0,2.2
5/1/2021,5/31/2021,"Johnson County, KS",Condo/Co-op,185000.0,365000.0,17.0,17.0,0.8
3/1/2017,3/31/2017,"Johnson County, KS",Townhouse,159950.0,298000.0,63.0,69.0,1.4
12/1/2022,12/31/2022,"Johnson County, KS",Condo/Co-op,190000.0,400000.0,11.0,3.0,2.1
6/1/2019,6/30/2019,"Johnson County, KS",Condo/Co-op,145500.0,299500.0,25.0,15.0,1.2
3/1/2012,3/31/2012,"Johnson County, KS",Townhouse,134000.0,209950.0,47.0,82.0,6.9
3/1/2021,3/31/2021,"Johnson County, KS",Multi-Family (2-4 Unit),350000.0,369000.0,5.0,12.0,1.2
6/1/2018,6/30/2018,"Johnson County, KS",Townhouse,184500.0,289500.0,86.0,85.0,1.7
3/1/2015,3/31/2015,"Johnson County, KS",Townhouse,140000.0,240000.0,52.0,72.0,4.3
6/1/2015,6/30/2015,"Johnson County, KS",All Residential,246000.0,245000.0,1315.0,1304.0,2.8
7/1/2012,7/31/2012,"Johnson County, KS",All Residential,201000.0,210000.0,942.0,982.0,4.5
7/1/2020,7/31/2020,"Johnson County, KS",Condo/Co-op,163800.0,325000.0,17.0,29.0,1.3
3/1/2022,3/31/2022,"Johnson County, KS",Condo/Co-op,180000.0,388450.0,19.0,15.0,0.4
6/1/2014,6/30/2014,"Johnson County, KS",Condo/Co-op,106428.0,238500.0,12.0,27.0,7.0
3/1/2012,3/31/2012,"Johnson County, KS",Condo/Co-op,64650.0,209950.0,16.0,18.0,5.6
4/1/2020,4/30/2020,"Johnson County, KS",Multi-Family (2-4 Unit),255000.0,312000.0,4.0,5.0,1.3
7/1/2022,7/31/2022,"Johnson County, KS",Townhouse,243500.0,399900.0,64.0,75.0,1.2
1/1/2014,1/31/2014,"Johnson County, KS",Multi-Family (2-4 Unit),124500.0,227000.0,5.0,15.0,6.8
3/1/2013,3/31/2013,"Johnson County, KS",Single Family Residential,217000.0,215000.0,685.0,1017.0,4.7
2/1/2021,2/28/2021,"Johnson County, KS",All Residential,338000.0,379950.0,636.0,799.0,1.7
11/1/2019,11/30/2019,"Johnson County, KS",Multi-Family (2-4 Unit),308500.0,320000.0,3.0,1.0,1.3
1/1/2022,1/31/2022,"Johnson County, KS",All Residential,387500.0,379950.0,526.0,649.0,1.5
2/1/2023,2/28/2023,"Johnson County, KS",All Residential,399900.0,415000.0,491.0,564.0,2.2
3/1/2021,3/31/2021,"Johnson County, KS",All Residential,375000.0,369000.0,795.0,1251.0,1.5
6/1/2014,6/30/2014,"Johnson County, KS",All Residential,230000.0,238500.0,1241.0,1308.0,3.2
12/1/2012,12/31/2012,"Johnson County, KS",Condo/Co-op,93750.0,213100.0,8.0,10.0,6.3
9/1/2021,9/30/2021,"Johnson County, KS",Single Family Residential,371250.0,360000.0,1002.0,880.0,1.2
7/1/2019,7/31/2019,"Johnson County, KS",Single Family Residential,312250.0,285000.0,1116.0,1055.0,2.0
7/1/2015,7/31/2015,"Johnson County, KS",Condo/Co-op,108525.0,237950.0,22.0,20.0,2.6
8/1/2018,8/31/2018,"Johnson County, KS",Single Family Residential,295000.0,279000.0,1025.0,1074.0,2.3
5/1/2020,5/31/2020,"Johnson County, KS",Multi-Family (2-4 Unit),210000.0,339000.0,9.0,7.0,0.4
1/1/2013,1/31/2013,"Johnson County, KS",Condo/Co-op,89000.0,210000.0,11.0,22.0,5.2
6/1/2017,6/30/2017,"Johnson County, KS",Multi-Family (2-4 Unit),200250.0,269950.0,4.0,10.0,3.0
12/1/2019,12/31/2019,"Johnson County, KS",Single Family Residential,310000.0,300000.0,736.0,369.0,2.1
1/1/2022,1/31/2022,"Johnson County, KS",Multi-Family (2-4 Unit),386250.0,379950.0,10.0,5.0,0.3
8/1/2018,8/31/2018,"Johnson County, KS",Townhouse,175000.0,279000.0,97.0,85.0,1.6
3/1/2013,3/31/2013,"Johnson County, KS",Townhouse,123900.0,215000.0,53.0,80.0,4.6
1/1/2023,1/31/2023,"Johnson County, KS",Townhouse,264015.0,425000.0,24.0,43.0,1.6
4/1/2014,4/30/2014,"Johnson County, KS",Multi-Family (2-4 Unit),187000.0,239500.0,10.0,19.0,3.9
6/1/2013,6/30/2013,"Johnson County, KS",Townhouse,134500.0,229000.0,74.0,82.0,3.8
10/1/2016,10/31/2016,"Johnson County, KS",Condo/Co-op,110500.0,255000.0,20.0,19.0,2.0
1/1/2019,1/31/2019,"Johnson County, KS",Townhouse,180000.0,309000.0,41.0,62.0,2.5
6/1/2021,6/30/2021,"Johnson County, KS",Single Family Residential,385000.0,350000.0,1224.0,1202.0,1.1
11/1/2012,11/30/2012,"Johnson County, KS",Single Family Residential,214500.0,196000.0,637.0,566.0,4.8
7/1/2022,7/31/2022,"Johnson County, KS",All Residential,395000.0,399900.0,1046.0,1001.0,1.3
6/1/2014,6/30/2014,"Johnson County, KS",Multi-Family (2-4 Unit),196750.0,238500.0,11.0,9.0,3.2
12/1/2012,12/31/2012,"Johnson County, KS",Townhouse,118375.0,213100.0,50.0,37.0,3.9
3/1/2014,3/31/2014,"Johnson County, KS",All Residential,200000.0,229000.0,632.0,1241.0,5.6
1/1/2012,1/31/2012,"Johnson County, KS",Single Family Residential,200000.0,199250.0,379.0,627.0,7.9
10/1/2016,10/31/2016,"Johnson County, KS",All Residential,254950.0,255000.0,887.0,923.0,2.8
6/1/2016,6/30/2016,"Johnson County, KS",Townhouse,146750.0,254950.0,96.0,104.0,1.9
2/1/2023,2/28/2023,"Johnson County, KS",Townhouse,260000.0,415000.0,41.0,38.0,0.9
12/1/2018,12/31/2018,"Johnson County, KS",Condo/Co-op,176000.0,295200.0,11.0,9.0,2.5
1/1/2016,1/31/2016,"Johnson County, KS",Multi-Family (2-4 Unit),159000.0,264950.0,6.0,7.0,2.5
7/1/2015,7/31/2015,"Johnson County, KS",All Residential,235000.0,237950.0,1245.0,1126.0,2.8
9/1/2022,9/30/2022,"Johnson County, KS",Single Family Residential,409900.0,395000.0,811.0,780.0,1.6
8/1/2021,8/31/2021,"Johnson County, KS",Single Family Residential,377000.0,350000.0,1119.0,959.0,1.1
12/1/2019,12/31/2019,"Johnson County, KS",Townhouse,212500.0,300000.0,56.0,40.0,1.6
4/1/2019,4/30/2019,"Johnson County, KS",Multi-Family (2-4 Unit),238125.0,325000.0,4.0,5.0,1.3
10/1/2012,10/31/2012,"Johnson County, KS",Multi-Family (2-4 Unit),184000.0,219975.0,5.0,5.0,4.0
9/1/2015,9/30/2015,"Johnson County, KS",All Residential,230000.0,250000.0,901.0,987.0,3.6
3/1/2015,3/31/2015,"Johnson County, KS",Single Family Residential,230000.0,240000.0,811.0,1151.0,3.9
1/1/2020,1/31/2020,"Johnson County, KS",Single Family Residential,319950.0,329900.0,512.0,641.0,2.9
11/1/2018,11/30/2018,"Johnson County, KS",All Residential,281527.0,289700.0,877.0,679.0,2.4
9/1/2017,9/30/2017,"Johnson County, KS",Multi-Family (2-4 Unit),237750.0,265000.0,6.0,3.0,1.8
7/1/2022,7/31/2022,"Johnson County, KS",Single Family Residential,405000.0,399900.0,966.0,908.0,1.3
10/1/2017,10/31/2017,"Johnson County, KS",Multi-Family (2-4 Unit),227000.0,279900.0,9.0,11.0,1.2
5/1/2020,5/31/2020,"Johnson County, KS",Single Family Residential,316750.0,339000.0,846.0,1139.0,2.0
7/1/2014,7/31/2014,"Johnson County, KS",Condo/Co-op,107500.0,232750.0,19.0,18.0,4.3
12/1/2016,12/31/2016,"Johnson County, KS",Townhouse,152000.0,261500.0,61.0,37.0,1.6
7/1/2015,7/31/2015,"Johnson County, KS",Townhouse,125000.0,237950.0,65.0,80.0,3.4
2/1/2012,2/29/2012,"Johnson County, KS",Townhouse,115000.0,207250.0,31.0,65.0,10.1
7/1/2021,7/31/2021,"Johnson County, KS",Single Family Residential,385000.0,339950.0,1156.0,1163.0,1.2
5/1/2022,5/31/2022,"Johnson County, KS",Multi-Family (2-4 Unit),377500.0,399950.0,4.0,5.0,1.8
2/1/2022,2/28/2022,"Johnson County, KS",All Residential,405500.0,395000.0,553.0,810.0,1.5
10/1/2019,10/31/2019,"Johnson County, KS",All Residential,295000.0,299000.0,939.0,911.0,2.3
4/1/2017,4/30/2017,"Johnson County, KS",Single Family Residential,275000.0,279900.0,823.0,1241.0,2.6
6/1/2017,6/30/2017,"Johnson County, KS",Condo/Co-op,124250.0,269950.0,30.0,26.0,1.3
6/1/2021,6/30/2021,"Johnson County, KS",Townhouse,245000.0,350000.0,83.0,87.0,0.7
7/1/2022,7/31/2022,"Johnson County, KS",Condo/Co-op,235000.0,399900.0,11.0,15.0,0.6
10/1/2015,10/31/2015,"Johnson County, KS",Condo/Co-op,93500.0,249250.0,16.0,25.0,3.2
4/1/2013,4/30/2013,"Johnson County, KS",All Residential,203000.0,220000.0,801.0,1341.0,5.0
8/1/2017,8/31/2017,"Johnson County, KS",Single Family Residential,274999.0,250000.0,1009.0,915.0,2.1
4/1/2014,4/30/2014,"Johnson County, KS",Condo/Co-op,96515.0,239500.0,19.0,14.0,3.1
10/1/2022,10/31/2022,"Johnson County, KS",Townhouse,255000.0,392500.0,51.0,54.0,1.2
2/1/2021,2/28/2021,"Johnson County, KS",Single Family Residential,359700.0,379950.0,574.0,731.0,1.8
2/1/2016,2/29/2016,"Johnson County, KS",Condo/Co-op,109625.0,261050.0,8.0,20.0,5.8
2/1/2020,2/29/2020,"Johnson County, KS",All Residential,295000.0,341000.0,601.0,930.0,2.7
10/1/2013,10/31/2013,"Johnson County, KS",Condo/Co-op,106500.0,220000.0,6.0,18.0,9.7
12/1/2022,12/31/2022,"Johnson County, KS",Single Family Residential,425000.0,400000.0,567.0,331.0,1.9
5/1/2019,5/31/2019,"Johnson County, KS",Multi-Family (2-4 Unit),233000.0,310000.0,8.0,8.0,0.6
9/1/2015,9/30/2015,"Johnson County, KS",Multi-Family (2-4 Unit),159750.0,250000.0,4.0,4.0,4.0
2/1/2015,2/28/2015,"Johnson County, KS",All Residential,217475.0,239950.0,532.0,897.0,5.9
2/1/2022,2/28/2022,"Johnson County, KS",Townhouse,227000.0,395000.0,45.0,50.0,1.2
12/1/2021,12/31/2021,"Johnson County, KS",All Residential,375000.0,370000.0,920.0,502.0,0.8
11/1/2022,11/30/2022,"Johnson County, KS",All Residential,405000.0,390000.0,653.0,488.0,1.9
6/1/2015,6/30/2015,"Johnson County, KS",Townhouse,148000.0,245000.0,81.0,67.0,2.7
7/1/2012,7/31/2012,"Johnson County, KS",Single Family Residential,214500.0,210000.0,864.0,889.0,4.4
8/1/2013,8/31/2013,"Johnson County, KS",Townhouse,130000.0,219950.0,67.0,78.0,4.0
4/1/2019,4/30/2019,"Johnson County, KS",Townhouse,205500.0,325000.0,54.0,79.0,2.0
8/1/2021,8/31/2021,"Johnson County, KS",Multi-Family (2-4 Unit),295000.0,350000.0,10.0,7.0,0.7
8/1/2021,8/31/2021,"Johnson County, KS",Townhouse,225000.0,350000.0,83.0,90.0,0.8
5/1/2013,5/31/2013,"Johnson County, KS",All Residential,211750.0,214950.0,1182.0,1443.0,3.5
1/1/2015,1/31/2015,"Johnson County, KS",Townhouse,132000.0,243900.0,43.0,64.0,4.6
11/1/2015,11/30/2015,"Johnson County, KS",Single Family Residential,250000.0,244975.0,586.0,538.0,4.6
4/1/2022,4/30/2022,"Johnson County, KS",Multi-Family (2-4 Unit),353000.0,400000.0,4.0,7.0,1.0
1/1/2017,1/31/2017,"Johnson County, KS",Single Family Residential,270000.0,269975.0,470.0,627.0,3.6
9/1/2015,9/30/2015,"Johnson County, KS",Single Family Residential,240000.0,250000.0,810.0,898.0,3.7
12/1/2018,12/31/2018,"Johnson County, KS",Townhouse,185500.0,295200.0,64.0,35.0,1.6
8/1/2013,8/31/2013,"Johnson County, KS",Single Family Residential,229000.0,219950.0,967.0,959.0,3.6
3/1/2017,3/31/2017,"Johnson County, KS",Multi-Family (2-4 Unit),159954.0,298000.0,4.0,8.0,1.5
10/1/2014,10/31/2014,"Johnson County, KS",All Residential,215000.0,225000.0,850.0,817.0,4.1
10/1/2015,10/31/2015,"Johnson County, KS",Multi-Family (2-4 Unit),145750.0,249250.0,2.0,2.0,6.5
11/1/2020,11/30/2020,"Johnson County, KS",Multi-Family (2-4 Unit),237012.5,329000.0,10.0,5.0,0.2
5/1/2021,5/31/2021,"Johnson County, KS",Townhouse,262500.0,365000.0,74.0,73.0,0.5
9/1/2014,9/30/2014,"Johnson County, KS",All Residential,220000.0,225000.0,835.0,926.0,4.5
12/1/2016,12/31/2016,"Johnson County, KS",Condo/Co-op,138000.0,261500.0,11.0,11.0,3.3
4/1/2015,4/30/2015,"Johnson County, KS",Condo/Co-op,79925.0,245000.0,12.0,21.0,6.2
7/1/2017,7/31/2017,"Johnson County, KS",All Residential,268800.0,265000.0,1155.0,1136.0,2.1
9/1/2019,9/30/2019,"Johnson County, KS",Single Family Residential,300000.0,315000.0,801.0,942.0,2.7
6/1/2015,6/30/2015,"Johnson County, KS",Single Family Residential,256500.0,245000.0,1213.0,1208.0,2.8
2/1/2022,2/28/2022,"Johnson County, KS",Condo/Co-op,174000.0,395000.0,14.0,20.0,0.9
9/1/2016,9/30/2016,"Johnson County, KS",All Residential,247500.0,260000.0,1010.0,988.0,2.5
3/1/2023,3/31/2023,"Johnson County, KS",All Residential,420000.0,420000.0,591.0,697.0,1.7
11/1/2016,11/30/2016,"Johnson County, KS",All Residential,254000.0,250000.0,821.0,678.0,2.7
7/1/2018,7/31/2018,"Johnson County, KS",Condo/Co-op,139500.0,274900.0,20.0,14.0,1.3
1/1/2015,1/31/2015,"Johnson County, KS",Single Family Residential,228250.0,243900.0,456.0,698.0,5.7
11/1/2017,11/30/2017,"Johnson County, KS",Multi-Family (2-4 Unit),206000.0,267950.0,6.0,47.0,1.3
12/1/2015,12/31/2015,"Johnson County, KS",Single Family Residential,240000.0,239900.0,705.0,462.0,3.3
6/1/2022,6/30/2022,"Johnson County, KS",Multi-Family (2-4 Unit),320000.0,399900.0,7.0,12.0,1.3
2/1/2017,2/28/2017,"Johnson County, KS",Condo/Co-op,136000.0,285000.0,12.0,21.0,2.8
6/1/2012,6/30/2012,"Johnson County, KS",Single Family Residential,229550.0,219000.0,920.0,995.0,4.3
12/1/2018,12/31/2018,"Johnson County, KS",Multi-Family (2-4 Unit),265000.0,295200.0,6.0,11.0,1.2
9/1/2021,9/30/2021,"Johnson County, KS",Condo/Co-op,145000.0,360000.0,25.0,21.0,0.8
6/1/2014,6/30/2014,"Johnson County, KS",Townhouse,162500.0,238500.0,75.0,91.0,3.2
3/1/2022,3/31/2022,"Johnson County, KS",Townhouse,252500.0,388450.0,52.0,77.0,1.1
12/1/2020,12/31/2020,"Johnson County, KS",Townhouse,203500.0,319900.0,63.0,41.0,0.6
1/1/2016,1/31/2016,"Johnson County, KS",Condo/Co-op,117500.0,264950.0,14.0,14.0,3.1
4/1/2012,4/30/2012,"Johnson County, KS",Multi-Family (2-4 Unit),145500.0,215000.0,4.0,8.0,6.3
5/1/2012,5/31/2012,"Johnson County, KS",Single Family Residential,211500.0,200000.0,864.0,1041.0,4.7
1/1/2022,1/31/2022,"Johnson County, KS",Townhouse,230000.0,379950.0,43.0,59.0,1.1
4/1/2020,4/30/2020,"Johnson County, KS",Townhouse,219000.0,312000.0,64.0,63.0,1.2
3/1/2014,3/31/2014,"Johnson County, KS",Multi-Family (2-4 Unit),142750.0,229000.0,8.0,7.0,3.8
9/1/2021,9/30/2021,"Johnson County, KS",All Residential,359500.0,360000.0,1100.0,974.0,1.2
12/1/2012,12/31/2012,"Johnson County, KS",All Residential,215500.0,213100.0,702.0,456.0,4.1
4/1/2020,4/30/2020,"Johnson County, KS",All Residential,320000.0,312000.0,891.0,925.0,1.9
11/1/2021,11/30/2021,"Johnson County, KS",All Residential,355750.0,360000.0,952.0,648.0,1.0
4/1/2017,4/30/2017,"Johnson County, KS",Condo/Co-op,128250.0,279900.0,24.0,32.0,1.7
2/1/2016,2/29/2016,"Johnson County, KS",All Residential,230000.0,261050.0,559.0,922.0,4.2
9/1/2016,9/30/2016,"Johnson County, KS",Condo/Co-op,131000.0,260000.0,17.0,19.0,2.9
9/1/2019,9/30/2019,"Johnson County, KS",Townhouse,186975.0,315000.0,70.0,87.0,1.5
12/1/2022,12/31/2022,"Johnson County, KS",All Residential,397000.0,400000.0,627.0,362.0,1.8
12/1/2017,12/31/2017,"Johnson County, KS",Single Family Residential,286000.0,274900.0,760.0,424.0,2.1
10/1/2019,10/31/2019,"Johnson County, KS",Single Family Residential,310000.0,299000.0,832.0,813.0,2.5
10/1/2013,10/31/2013,"Johnson County, KS",All Residential,223900.0,220000.0,841.0,907.0,4.2
10/1/2018,10/31/2018,"Johnson County, KS",Townhouse,178000.0,294950.0,63.0,69.0,2.0
7/1/2014,7/31/2014,"Johnson County, KS",Townhouse,140000.0,232750.0,65.0,97.0,4.1
5/1/2018,5/31/2018,"Johnson County, KS",All Residential,285000.0,297750.0,1240.0,1436.0,2.0
11/1/2019,11/30/2019,"Johnson County, KS",All Residential,302000.0,320000.0,779.0,664.0,2.5
3/1/2017,3/31/2017,"Johnson County, KS",All Residential,267000.0,298000.0,921.0,1361.0,2.3
1/1/2013,1/31/2013,"Johnson County, KS",All Residential,196393.0,210000.0,470.0,803.0,6.5
2/1/2019,2/28/2019,"Johnson County, KS",Townhouse,164000.0,309725.0,45.0,55.0,2.1
12/1/2018,12/31/2018,"Johnson County, KS",All Residential,285000.0,295200.0,688.0,437.0,2.7
4/1/2015,4/30/2015,"Johnson County, KS",Single Family Residential,240000.0,245000.0,931.0,1377.0,3.7
7/1/2017,7/31/2017,"Johnson County, KS",Single Family Residential,275000.0,265000.0,1055.0,1024.0,2.1
3/1/2022,3/31/2022,"Johnson County, KS",Multi-Family (2-4 Unit),406000.0,388450.0,1.0,5.0,4.0
12/1/2018,12/31/2018,"Johnson County, KS",Single Family Residential,299950.0,295200.0,607.0,382.0,2.9
3/1/2018,3/31/2018,"Johnson County, KS",Townhouse,204500.0,299500.0,50.0,91.0,3.0
11/1/2017,11/30/2017,"Johnson County, KS",Condo/Co-op,109500.0,267950.0,21.0,18.0,1.5
4/1/2021,4/30/2021,"Johnson County, KS",Condo/Co-op,160000.0,374600.0,23.0,23.0,0.7
2/1/2018,2/28/2018,"Johnson County, KS",Single Family Residential,280000.0,299550.0,531.0,761.0,3.0
7/1/2022,7/31/2022,"Johnson County, KS",Multi-Family (2-4 Unit),300000.0,399900.0,5.0,3.0,1.2
1/1/2018,1/31/2018,"Johnson County, KS",Multi-Family (2-4 Unit),180000.0,276250.0,10.0,15.0,1.4
8/1/2015,8/31/2015,"Johnson County, KS",Single Family Residential,257500.0,235000.0,969.0,869.0,3.1
2/1/2013,2/28/2013,"Johnson County, KS",Townhouse,120000.0,214475.0,37.0,66.0,6.1
11/1/2022,11/30/2022,"Johnson County, KS",Townhouse,261500.0,390000.0,56.0,31.0,0.8
10/1/2014,10/31/2014,"Johnson County, KS",Condo/Co-op,84800.0,225000.0,19.0,16.0,4.4
1/1/2018,1/31/2018,"Johnson County, KS",Townhouse,151850.0,276250.0,34.0,47.0,3.4
10/1/2022,10/31/2022,"Johnson County, KS",All Residential,400000.0,392500.0,778.0,657.0,1.7
2/1/2015,2/28/2015,"Johnson County, KS",Condo/Co-op,82450.0,239950.0,6.0,19.0,10.7
7/1/2014,7/31/2014,"Johnson County, KS",All Residential,225375.0,232750.0,1138.0,1228.0,3.5
8/1/2018,8/31/2018,"Johnson County, KS",Multi-Family (2-4 Unit),197500.0,279000.0,5.0,7.0,1.6
6/1/2016,6/30/2016,"Johnson County, KS",All Residential,261111.0,254950.0,1389.0,1395.0,2.1
8/1/2020,8/31/2020,"Johnson County, KS",Single Family Residential,349250.0,335000.0,1120.0,1103.0,1.3
9/1/2012,9/30/2012,"Johnson County, KS",Townhouse,147250.0,208950.0,50.0,54.0,5.6
6/1/2012,6/30/2012,"Johnson County, KS",Condo/Co-op,87000.0,219000.0,7.0,18.0,12.3
1/1/2017,1/31/2017,"Johnson County, KS",Townhouse,159000.0,269975.0,38.0,65.0,2.6
5/1/2019,5/31/2019,"Johnson County, KS",All Residential,310000.0,310000.0,1271.0,1462.0,1.8
2/1/2012,2/29/2012,"Johnson County, KS",Multi-Family (2-4 Unit),133000.0,207250.0,5.0,2.0,5.0
11/1/2013,11/30/2013,"Johnson County, KS",All Residential,228750.0,219900.0,686.0,642.0,4.8
8/1/2022,8/31/2022,"Johnson County, KS",Townhouse,243525.0,379900.0,54.0,57.0,1.3
5/1/2016,5/31/2016,"Johnson County, KS",Condo/Co-op,106725.0,255000.0,20.0,17.0,1.8
3/1/2013,3/31/2013,"Johnson County, KS",All Residential,210000.0,215000.0,755.0,1123.0,4.7
8/1/2019,8/31/2019,"Johnson County, KS",Townhouse,181500.0,300000.0,85.0,88.0,1.3
3/1/2020,3/31/2020,"Johnson County, KS",Single Family Residential,338113.5,320000.0,786.0,1046.0,2.0
9/1/2014,9/30/2014,"Johnson County, KS",Multi-Family (2-4 Unit),175220.0,225000.0,8.0,9.0,4.3
1/1/2020,1/31/2020,"Johnson County, KS",All Residential,305475.0,329900.0,565.0,710.0,2.8
11/1/2019,11/30/2019,"Johnson County, KS",Single Family Residential,315000.0,320000.0,695.0,605.0,2.6
5/1/2015,5/31/2015,"Johnson County, KS",Townhouse,145000.0,240000.0,92.0,93.0,2.6
10/1/2019,10/31/2019,"Johnson County, KS",Townhouse,170000.0,299000.0,84.0,77.0,1.3
5/1/2017,5/31/2017,"Johnson County, KS",Single Family Residential,285000.0,269997.0,1149.0,1223.0,1.9
11/1/2022,11/30/2022,"Johnson County, KS",Single Family Residential,435000.0,390000.0,576.0,429.0,2.1
12/1/2013,12/31/2013,"Johnson County, KS",Townhouse,130000.0,219900.0,57.0,30.0,3.5
9/1/2022,9/30/2022,"Johnson County, KS",All Residential,395000.0,395000.0,893.0,862.0,1.6
6/1/2012,6/30/2012,"Johnson County, KS",All Residential,220000.0,219000.0,995.0,1084.0,4.4
6/1/2020,6/30/2020,"Johnson County, KS",All Residential,325000.0,345000.0,1185.0,1285.0,1.4
8/1/2013,8/31/2013,"Johnson County, KS",All Residential,215000.0,219950.0,1059.0,1061.0,3.6
6/1/2017,6/30/2017,"Johnson County, KS",Single Family Residential,300000.0,269950.0,1252.0,1331.0,1.8
1/1/2016,1/31/2016,"Johnson County, KS",Townhouse,125500.0,264950.0,46.0,66.0,3.5
4/1/2022,4/30/2022,"Johnson County, KS",Single Family Residential,425000.0,400000.0,783.0,1137.0,1.3
5/1/2017,5/31/2017,"Johnson County, KS",Multi-Family (2-4 Unit),175000.0,269997.0,5.0,4.0,1.6
6/1/2019,6/30/2019,"Johnson County, KS",Multi-Family (2-4 Unit),237000.0,299500.0,1.0,11.0,9.0
3/1/2017,3/31/2017,"Johnson County, KS",Single Family Residential,280000.0,298000.0,835.0,1257.0,2.4
6/1/2014,6/30/2014,"Johnson County, KS",Single Family Residential,240000.0,238500.0,1143.0,1181.0,3.2
7/1/2013,7/31/2013,"Johnson County, KS",All Residential,222000.0,215000.0,1169.0,1153.0,3.4
5/1/2013,5/31/2013,"Johnson County, KS",Multi-Family (2-4 Unit),180000.0,214950.0,5.0,11.0,6.2
3/1/2012,3/31/2012,"Johnson County, KS",All Residential,193750.0,209950.0,670.0,1287.0,6.2
